name	P1	P2	P3	P4	P5	P6
Bradyrhizobium sp. 192	1692	1420	1723	1255	1808	992
Bradyrhizobium sp. 195	2164	2291	1516	1743	1817	1663
Bradyrhizobium sp. 200	7232	7608	4052	5767	8007	5400
Bradyrhizobium sp. 4	826	0	989	0	0	0
Bradyrhizobium sp. 40	0	598	0	1035	0	836
Bradyrhizobium sp. 41S5	1788	2172	1304	1450	1358	652
Bradyrhizobium sp. 6(2017)	5820	6279	2015	3101	3661	2872
Bradyrhizobium sp. 62B	3751	2889	1586	4369	2140	4669
Bradyrhizobium sp. A19	2310	1721	3656	2152	1740	1700
Bradyrhizobium sp. Ash2021	20080	16973	8550	16902	20867	19714
Bradyrhizobium sp. BEA-2-5	1159	4996	870	986	2793	798
Bradyrhizobium sp. BTAi1	2934	1899	3003	3116	3876	3417
Bradyrhizobium sp. BWA-3-5	3104	3915	2435	2308	2276	2086
Bradyrhizobium sp. BWC-3-1	1367	1481	2385	1713	1704	1738
Bradyrhizobium sp. C-145	7410	5291	4891	6424	9627	6738
Bradyrhizobium sp. CB1015	2325	1882	2602	1406	2320	947
Bradyrhizobium sp. CB1024	565	444	717	925	500	297
Bradyrhizobium sp. CB1650	7145	6135	5129	5933	9647	6808
Bradyrhizobium sp. CB1717	5371	5433	2872	4911	5559	4813
Bradyrhizobium sp. CB2312	3010	3292	2483	3095	3392	2415
Bradyrhizobium sp. CB3035	2009	1786	2483	2375	2071	2372
Bradyrhizobium sp. CB3481	3513	3670	3194	2860	3154	2848
Bradyrhizobium sp. CB82	65968	80198	18659	57029	51362	52838
Bradyrhizobium sp. CCBAU 051011	4206	4753	1699	3737	4033	2457
Bradyrhizobium sp. CCBAU 51753	3791	4559	3665	3276	3589	3030
Bradyrhizobium sp. CCBAU 51765	1081	1571	1731	631	1019	865
Bradyrhizobium sp. CCBAU 53338	1760	922	3419	1651	1338	848
Bradyrhizobium sp. CCBAU 53340	3183	3119	6312	2961	1821	1520
Bradyrhizobium sp. CCBAU 53351	2548	2295	2165	2651	1237	2333
Bradyrhizobium sp. CCBAU 53421	2825	5917	2651	3439	2451	2218
Bradyrhizobium sp. CCGE-LA001	869	363	1299	886	407	559
Bradyrhizobium sp. CCGUVB1N3	14362	12948	1115	5512	5459	5262
Bradyrhizobium sp. CCGUVB23	9593	15936	2128	8227	9145	5573
Bradyrhizobium sp. CIAT3101	16312	18065	2948	5720	5303	5995
Bradyrhizobium sp. CW1	0	5343	0	0	0	0
Bradyrhizobium sp. I71	1039	1558	1833	1481	1160	903
Bradyrhizobium sp. LCT2	2857	4896	0	1217	2215	3384
Bradyrhizobium sp. NC92	1917	1669	1286	971	0	650
Bradyrhizobium sp. NDS-1	730	731	772	592	659	492
Bradyrhizobium sp. NP1	27965	26944	12500	21537	24059	21643
Bradyrhizobium sp. ORS 278	1543	1675	3276	1842	1233	1338
Bradyrhizobium sp. ORS 285	1899	1792	2332	1757	1337	1232
Bradyrhizobium sp. SEMIA	6325	6553	15456	6541	3701	4320
Bradyrhizobium sp. SK17	5243	10756	3946	7754	5884	3215
Bradyrhizobium sp. WD16	3033	3220	2083	3150	2134	1902
Bradyrhizobium sp. sBnM-33	6942	6969	3250	6062	8210	6423
Bradyrhizobium symbiodeficiens	2545	757	1831	2620	1652	817
Bradyrhizobium vignae	2841	3172	1944	1681	1909	1696
Bradyrhizobium xenonodulans	1286	989	1094	1205	987	895
Bradyrhizobium zhanjiangense	4605	4426	4118	4208	4722	2885
Bremerella volcania	0	0	58	0	41	0
Breoghania sp.	6325	4548	5278	8194	14822	11412
Breoghania sp. L-A4	309	820	687	323	366	281
Brevefilum fermentans	0	0	16	18	0	0
Brevibacillus brevis	1731	1625	1218	280	0	713
