sample	name	taxonomy_id	taxonomy_lvl	new_est_reads	fraction_total_reads	taxonomy_chain
P1	Bradyrhizobium prioritasuperba	2854389	S	2033	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium prioriisuperbiae
P1	Bradyrhizobium quebecense	2748629	S	5712	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium quebecense
P1	Bradyrhizobium brasilense	1419277	S	6218	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium brasilense
P1	Bradyrhizobium vignae	1549949	S	2841	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium vignae
P1	Bradyrhizobium ottawaense	931866	S	23412	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium ottawaense
P1	Bradyrhizobium commune	83627	S	2035	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium commune
P1	Bradyrhizobium zhanjiangense	1325107	S	4605	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium zhanjiangense
P1	Bradyrhizobium septentrionale	1404411	S	3636	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium septentrionale
P1	Bradyrhizobium roseus	3056648	S	1282	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium roseum
P1	Bradyrhizobium guangzhouense	1325095	S	2757	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium guangzhouense
P1	Bradyrhizobium oligotrophicum	44255	S	1683	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium oligotrophicum
P1	Bradyrhizobium xenonodulans	2736875	S	1286	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium xenonodulans
P1	Bradyrhizobium australafricanum	2821406	S	2658	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium australafricanum
P1	Bradyrhizobium guangdongense	1325090	S	1448	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium guangdongense
P1	Bradyrhizobium cosmicum	1404864	S	1002	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium cosmicum
P1	Bradyrhizobium symbiodeficiens	1404367	S	2545	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium symbiodeficiens
P1	Bradyrhizobium betae	244734	S	5548	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium betae
P1	Bradyrhizobium pachyrhizi	280333	S	2270	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium pachyrhizi
P1	Bradyrhizobium guangxiense	1325115	S	1023	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium guangxiense
P1	Bradyrhizobium amphicarpaeae	1404768	S	548	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium amphicarpaeae
P1	Bradyrhizobium daqingense	993502	S	537	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium daqingense
P1	Rhodopseudomonas palustris	1076	S	13411	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris
P1	Rhodopseudomonas sp. P2A-2r	2991972	S	1369	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;unclassified Rhodopseudomonas;Rhodopseudomonas sp. P2A-2r
P1	Rhodopseudomonas sp. BAL398	3034676	S	2702	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;unclassified Rhodopseudomonas;Rhodopseudomonas sp. BAL398
P1	Rhodopseudomonas sp. SK50-23	340268	S	394	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Tardiphaga;Tardiphaga alba
P1	Rhodopseudomonas boonkerdii	475937	S	764	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas boonkerdii
P1	Nitrobacter hamburgensis	912	S	2862	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Nitrobacter;Nitrobacter hamburgensis
P1	Nitrobacter winogradskyi	913	S	919	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Nitrobacter;Nitrobacter winogradskyi
P1	Afipia sp. GAS231	1882747	S	8798	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;unclassified Afipia;Afipia sp. GAS231
P1	[Pseudomonas] carboxydohydrogena	290	S	1303	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;Afipia carboxydohydrogena
P1	Afipia carboxidovorans	40137	S	12945	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;Afipia carboxidovorans
P1	Tardiphaga sp. 709	3076039	S	286	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Tardiphaga;unclassified Tardiphaga;Tardiphaga sp. 709
P1	Tardiphaga sp. 42S5	1404799	S	339	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Tardiphaga;unclassified Tardiphaga;Tardiphaga sp. 42S5
P1	Variibacter gotjawalensis	1333996	S	1618	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Variibacter;Variibacter gotjawalensis
P1	Mesorhizobium sp. AR07	2865838	S	3619	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium;Mesorhizobium sp. AR07
P1	Mesorhizobium sp. B1-1-8	2589976	S	1197	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium;Mesorhizobium sp. B1-1-8
P1	Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	823	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium;Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1
P1	Mesorhizobium sp. WR6	3074855	S	299	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium koreense
P1	Mesorhizobium sp. AR02	2865837	S	886	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium;Mesorhizobium sp. AR02
P1	Mesorhizobium sp. B2-8-5	2589903	S	620	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium;Mesorhizobium sp. B2-8-5
P1	Mesorhizobium sp. PAMC28654	2880934	S	391	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium;Mesorhizobium sp. PAMC28654
P1	Mesorhizobium sp. 8	2584466	S	578	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium;Mesorhizobium sp. 8
